Cedula,Nombres,Apellido,Correo,Telefono,Programa
7895,Sebastian,Villa,sebasvilla@gmail.com,3234089765,Ing de sistemas
100555,Camilo,Bravo,cb@gmail.com,3153153156,Sistemas
1027373,Ana,Correa,amcb@gmail.com,3874347,Ingenieria
1234157,LUIS,RUDAS,R@GMAIL.COM,300000,MISION TIC
10071262,cristian,neita,neita@gmail.com,3142737694,Sistemas
10101010,Mauricio Alexander,Vargas Rodríguez,mauricioalexander@live.com,31030110123,Mintic UdeA
27837099,Eduardo,Mantilla,ed_boderom@gmail.com,3143143141,Multimedia
86493256,Maycol,Carroll,may@gmail.com,625159946,Desarrollo
111333122,javier,villabon,javiervillaboncorreo@gmaill.com,3206965487,Dormir
963258741,pinocchio,tree,pinocchio@gmail.com,456987,Ing Forestal
1047484066,Pablo emilio ,Escobar gaviria,Pablito@gmail.com,3015137885,Negocios Internacionales
1052345678,Yeimy,Vega P,vega@gmail.com,3105675377,sistemas
1116488820,Daniel,Castro,da.ca@hotmail.com,32157894561,Ingenieria
